Name,Address,Latitude,Longitude,Phone,Rating (/5),Type,Specialisation,Working Hours,Google Maps
Birajdar ENT Clinic,"Shop No. 5, Rohan Commercial Complex, Opp. Vijay Clinic, Railway Lines, Solapur - 413001",17.6651739,75.9000731,+91 96652 62162,5.0,ENT Clinic,"ENT (Ear, Nose & Throat)",MonSat: 12:00 PM - 5:00 PM | Sun: Closed,Open Map ?
CNS Hospital,"188/2/2 Degaon Road, Near New D-Mart, Laxmi Peth, Damani Nagar, Solapur - 413001",17.6661482,75.8770756,+91 88068 86699,4.9,General Hospital,Neurology / Neurosurgery / Multispeciality,Open 24 Hours (All Days),Open Map ?
Dr. Sachin Kulkarni Orthopaedic Center,"Jule Solapur Rd, Opp. Bharati Vidyapith, Main Gate, Court Colony, Jule, Solapur - 413004",17.6399382,75.9013038,+91 94220 70878,4.9,Orthopaedic Hospital,Orthopaedics / Fracture / Joint Replacement / Sports Injuries,Mon-Sat: Open 24 Hours | Sun: 11:00 AM - 1:00 PM,Open Map ?
Dr. Karpe's Centre For Dentistry,"Shop No. 1/2, Vijay Tower, Below Janta Bank, Railway Lines, Solapur - 413001",17.6656607,75.8975622,+91 94055 49094,4.9,Dental Clinic,Dentistry / Dental Implants / Root Canal / Orthodontics,Mon-Sat: 10:00 AM - 8:30 PM | Sun: Closed,Open Map ?
Vardan Mother & Child Care Hospital,"Plot No. B-13, Vijapur Rd, Opp. ITI, Vinay Housing Society, Konark Nagar, Solapur - 413004",17.6420712,75.89943,+91 79770 49743,4.9,Maternity & Child Hospital,Gynaecology / Paediatrics / Maternity / Child Care,Open 24 Hours (All Days),Open Map ?
Waghchavre Orthopaedic & Cosmetology Hospital,"Narsing nagar, plot no.1, Jule Solapur Rd, Bank Colony, Dnyaneshwar Nagar, Model Colony, Jule, Solapur, Maharashtra 413004",17.6343926,75.9141463,+91 96731 14309,4.9,Orthopaedic Hospital,Orthopaedics / Knee Surgery / Cosmetology,Open 24 Hours (All Days),Open Map ?
Nirmal Anorectal & Multispeciality Hospital,"A Wing 64, Nirmal Heights, Near Samachar Chowk, Guruwar Peth, Solapur - 413005",17.6772809,75.9112735,+91 98221 87123,4.9,Multispeciality Hospital,Anorectal Surgery / General Surgery / Multispeciality,Open 24 Hours (All Days),Open Map ?
Shree Eye Hospital,"Gold Finch Peth, Opp. Savarkar Maidan, Behind Lokmangal Bank, Budhavar Peth, Solapur - 413007",17.6768433,75.9031107,+91 217 232 4321,4.9,Eye Hospital,Ophthalmology / Cataract Surgery / Retina / Eye Care,Mon-Sat: 12:00-3:00 PM & 6:00-8:00 PM | Sun: Closed,Open Map ?
Dr. Kole's Dental Clinic,"267/206, Raviwar Peth, Rajendra Chowk, Solapur - 413005",17.6760738,75.9183488,+91 92096 96561,4.9,Dental Clinic,Dentistry / Cosmetic Dentistry / Implants / Root Canal,Mon-Sat: 10:00 AM - 7:00 PM | Sun: Closed,Open Map ?
Diagnopein Solapur,"Raj Empire 108, Ramlal Chowk, In Front of Hotel Saiprasad Executive, Murarji Peth, Solapur - 413001",17.67036,75.8978236,,4.9,Diagnostic Centre,Pathology / Radiology / Diagnostics,Mon-Sat: 7:00 AM - 6:00 AM (next day) | Sun: 8:00 AM - 2:00 PM,Open Map ?
Lonikar Hospital,"Besides Mayor's Bungalow, 98, Railway Lines Rd, Sidheshwar Peth, Solapur - 413001",17.6666061,75.8976122,+91 98513 29898,4.9,Orthopaedic Hospital,Orthopaedics / Fracture / Joint Surgery / Physiotherapy,Mon-Sat: Open 24 Hours | Sun: Closed,Open Map ?
Patwardhan Clinic (Dr. Nitish  Gastroenterology),"Rajwade Chowk, 581 Rupa Bhavani Rd, South Kasba, Budhavar Peth, Solapur - 413007",17.6774294,75.9039823,,4.9,Speciality Clinic,Gastroenterology,Mon-Fri: 7:00 AM - 3:00 PM | Sat: 9:00 AM - 3:00 PM | Sun: Closed,Open Map ?
Suyog Clinic and Cosmo Laser Center,"Shop No 1,2,3, Jule Solapur Rd, opp. to D-Mart, Kalyan Nagar, Jule, Solapur, Maharashtra 413004",17.6356959,75.9139326,+91 8983977200,4.9,Skin Clinic,Dermatology / Hair & Skin Treatment / Laser / PRP,Mon-Sat: 10:00 AM - 2:00 AM & 6:00 PM - 9:00 PM| Sun: 10:00 AM - 1:00 PM,Open Map ?
Dr. Ukarande's Elite Cosmo Clinic & Plastic Surgery,"146, Railway Lines Rd, Near Bhandari Hospital, Old Employment Chowk, Solapur - 413001",17.6645243,75.9006167,+91 97674 83781,4.8,Speciality Clinic,Plastic Surgery / Dermatology / Hair Transplant / Hernia Surgery,Mon-Sat: 12:00 PM - 3:00/4:00 PM | Sun: Closed,Open Map ?
Akshara Hospital,"United Arcade, Hotagi Rd, Opp. Tarun Bharat Press, Near Hotel Khan Chacha, Sainath Nagar, Solapur - 413003",17.6419176,75.9157839,+91 92847 31377,4.8,Multispeciality Hospital,General Medicine / Surgery / ICU / Multispeciality,Open 24 Hours (All Days),Open Map ?
Krishna Mai Nursing Home,"136, Near HN Library, Murarji Peth, Solapur - 413001",17.6737891,75.9006086,,4.8,Nursing Home,Maternity / Gynaecology / Obstetrics,Open 24 Hours (Check for OPD timings),Open Map ?
Kamal Medicare Cancer & Super-Speciality Hospital,"Gandhi Nagar, Solapur  Akkalkot Rd, Gandhi Nagar Naka, Solapur - 413006",17.6732829,75.9311033,+91 93715 24365,4.8,Cancer Hospital,Oncology / Chemotherapy / Cancer Surgery / Laparoscopy,Open 24 Hours (All Days),Open Map ?
Glow Clinic,"Shop No. 15, Taj Plaza, Saraswati Chowk, Murarji Peth, Solapur - 413001",17.6731584,75.9001194,+91 94235 91978,4.8,Skin Clinic,Dermatology / Skin Care / Aesthetic Procedures,Mon-Sat: 11:00 AM - 6:00 PM | Sun: 12:00 PM - 3:00 AM,Open Map ?
Omkar Nursing Home & SIMS Fertility Centre,"Arjun Tower, B-8, Vijapur Rd, Swami Vivekanand Nagar 2, Solapur - 413004",17.6333017,75.8974406,+91 96654 81663,4.8,Nursing Home,Gynaecology / Fertility / Obstetrics,Open 24 Hours (All Days),Open Map ?
Apex Superspeciality Hospital,"Plot No. 1 & 6, Vijapur Rd, Opp. Galaxy Panache, Yamini Nagar, Solapur - 413008",17.631428,75.8971247,+91 217 260 0603,4.7,Superspeciality Hospital,Cardiology / Gynaecology / General Medicine / Multispeciality,Open 24 Hours (All Days),Open Map ?
Yashodhara Super Speciality Hospital (Unit 2),"Plot No. H-1, Hyderabad Rd, Near Market Yard, Rangraj Nagar, Solapur - 413005",17.6837913,75.9340784,+91 217 232 3002,4.7,Superspeciality Hospital,Nephrology / Orthopaedics / Cardiology / Surgery / ICU,Open 24 Hours (All Days),Open Map ?
Prism Medical Diagnostics,"VIP Rd, Near Gandhi TVS Showroom, Solapur - 413001",17.6605738,75.9040633,+91 95894 50909,4.7,Diagnostic Centre,Radiology / CT Scan / Sonography / Diagnostics,Mon-Sat: 9:00 AM - 9:00 PM | Sun: Closed,Open Map ?
Iyer Orthopaedic Centre,"103, Near Mayor Bungalow, Railway Lines, Sidheshwar Peth, Solapur - 413001",17.6659634,75.8973502,+91 217 231 7597,4.7,Orthopaedic Centre,Orthopaedics / Fracture / Spine / Physiotherapy,Mon-Sat: Open 24 Hours | Sun: Closed,Open Map ?
Mangalya Nursing Home & Atharva Fertility Center,"740, Near Kali Masjid, South Kasba, Budhavar Peth, Solapur - 413007",17.6787705,75.9010431,,4.7,Nursing Home,Gynaecology / Obstetrics / Fertility / IVF,Mon-Sat: 10:00 AM - 7:00 PM | Sun: Closed,Open Map ?
Adarsh Eye & Orthopaedic Hospital,"165/6, Railway Lines, Near Provident Fund Office, Opp. Hindustan Convent School, Solapur - 413001",17.6630341,75.905689,+91 98508 31614,4.7,Eye & Orthopaedic Hospital,Ophthalmology / Orthopaedics / Eye & Bone Care,Open 24 Hours (All Days),Open Map ?
Deshpande Dental Care & Implant Centre,"Besides District Court, 131, Civil Chowk, Opp. New Civil Hospital, Sidheshwar Peth, Solapur - 413003",17.6661852,75.9107993,+91 95525 27811,4.7,Dental Clinic,Dentistry / Dental Implants / Root Canal / Cosmetic Dentistry,Mon-Sat: 10:00 AM - 8:00 PM | Sun: Closed,Open Map ?
Life Line Hospital & Research Center,"Block No. 3, Mahavir Chowk, Hyderabad Bijapur Bypass Rd, Ratandeep Housing Society, Solapur - 413003",17.6515221,75.9094533,+91 217 260 5694,4.7,Multispeciality Hospital,Chelation Therapy / Ozone Therapy / Multispeciality,Open 24 Hours (All Days),Open Map ?
Valvekar Eye Hospital,"560/58, S. Sadar Bazar, Behind Pratham Hotel, Keshav Nagra, Solapur - 413003",17.6560594,75.908561,+91 217 231 1812,4.7,Eye Hospital,Ophthalmology / Eye Care / Eye Surgery,Open 24 Hours (All Days),Open Map ?
Raghoji Kidney & Multi-Specialty Hospital,"Plot No. 34-36, Mohitenagar, Hotagi Rd, Sainath Nagar, Solapur - 413003",17.6423028,75.9128596,+91 217 260 2700,4.6,Multispeciality Hospital,Nephrology / Urology / Orthopaedics / General Surgery,Open 24 Hours (All Days),Open Map ?
Yashodhara Super Speciality Hospital (Unit 1),"6158, Near Zilla Parishad, Sidheshwar Peth, Solapur - 413001",17.670245,75.90958,+91 88888 98734,4.6,Superspeciality Hospital,Neurology / Orthopaedics / Cardiology / ICU / Multispeciality,Open 24 Hours (All Days),Open Map ?
Pradhan Eye Hospital & Lasik Laser Centre,"50, Railway Lines, Dr. M.G. Pradhan Marg, Ganesh Colony, Solapur - 413001",17.6679037,75.8976015,+91 98810 04304,4.6,Eye Hospital,Ophthalmology / LASIK / Cataract / C3R Eye Surgery,Mon-Fri: 10:00 AM - 7:00 PM | Sat: 10:00 AM - 4:00 PM | Sun: Closed,Open Map ?
S.N. Nadaf Dental Hospital,"130/10 Peace Paradise, Near Old Post Office, Sidheshwar Peth, Solapur - 413001",17.6677802,75.9109607,+91 217 233 2888,4.6,Dental Hospital,Dentistry / Implants / Root Canal / Orthodontics,Mon-Sat: 10:00 AM - 9:00 PM | Sun: Closed,Open Map ?
Kokilaben Hospital Cancer Centre,"Plot No 1, Gut 659/3, Village Kumbharli, Telngi Pachha Peth, Kumbhari, Solapur - 413006",17.6682089,75.9614471,+91 82759 70619,4.6,Cancer Hospital,Oncology / Radiation / Chemotherapy / Cancer Care,Mon-Sat: 10:00 AM - 5:00 PM | Sun: Closed,Open Map ?
Chaturthi Super Speciality Hospital,"Old Employment Chowk, Solapur - 413001",17.6614693,75.9016157,,4.6,Superspeciality Hospital,General Medicine / Surgery / Multispeciality,Open 24 Hours (All Days),Open Map ?
Chaudhari Bal Rugnalaya (Children's Hospital),"Moraya Society, Solapur - 413004",17.6477667,75.9003394,+91 98229 78746,4.6,Children's Hospital,Paediatrics / Child Care / Neonatology,Mon-Sun: 9:30 AM - 9:00 PM,Open Map ?
Valsangkar Hospital (SP Institute of Neuro Sciences),"Ramwadi Road, HO Railway Crossing, Near Modi, Soni Nagar, Solapur - 413001",17.6573335,75.8962798,+91 217 238 2444,4.5,Speciality Hospital,Neurosurgery / Cardiology / Spine Surgery / Physiotherapy,Open 24 Hours (All Days),Open Map ?
Shobha Nursing Home Pvt. Ltd. & Infertility Centre,"128, Opp. Seva Sadan School, Murarji Peth, Solapur - 413001",17.6731738,75.8990874,+91 88477 45500,4.5,Nursing Home,Gynaecology / Infertility / IVF / Obstetrics,Mon-Sat: 9:30 AM - 9:00 PM | Sun: Closed,Open Map ?
Kotwal Nursing Home,"Plot No. 18/19, Vijapur Rd, Opp. Panache Apartment, Swami Vivekanand Nagar 2, Solapur - 413004",17.633626,75.8964612,+91 98819 80500,4.5,Nursing Home,Gynaecology / Normal & Caesarean Delivery / Obstetrics,Mon-Sat: 10:00 AM - 9:00 PM | Sun: Closed,Open Map ?
Dantkale Fracture Accident & Orthopaedic Hospital,"Vijay Housing Society, Konark Nagar, Jule, Solapur - 413004",17.6443606,75.8996669,+91 217 234 1623,4.5,Orthopaedic Hospital,Orthopaedics / Fractures / Accident Care,Open 24 Hours (All Days),Open Map ?
Shri Siddheshwar Cancer Hospital & Research Centre,"176, Hotagi Rd, Near Sanchar Press, Anand Nagar, Solapur - 413003",17.6422679,75.9158345,+91 94044 16585,4.5,Cancer Hospital,Oncology / Cancer Treatment / MJPJAY Empanelled,Contact for current hours,Open Map ?
Noble Superspeciality Hospital & Research Center,"Kuchan Nagar, Datta Nagar, Sakhar Peth, Solapur - 413005",17.6698066,75.9155711,+91 96041 34399,4.4,Superspeciality Hospital,Cardiology / Cardiac Surgery / General Medicine / Multispeciality,Open 24 Hours (All Days),Open Map ?
SPAN Hospital,"165, Railway Lines, Rupa Bhavani Rd, Near Back Side of Dominos Pizza, Solapur - 413001",17.6626172,75.9061031,+91 217 231 3300,4.4,Multispeciality Hospital,Paediatrics / General Medicine / ICU / Multispeciality,Open 24 Hours (All Days),Open Map ?
City Hospital,"Near Pankha Bawadi, B-Wing, City Pride Building, VIP Rd, Old Employment Chowk, Solapur - 413001",17.6621901,75.9017509,+91 217 231 5155,4.4,General Hospital,General Medicine / Surgery / ICU / Plastic Surgery,Open 24 Hours (All Days),Open Map ?
Pride ICU & Multispeciality Hospital,"Old Utkarsh Hospital, 1640 Saat Rasta, Opp. Karigar Petrol Pump, Civil Lines, Navi Peth, Solapur - 413003",17.6573029,75.9067634,+91 81499 28100,4.3,Multispeciality Hospital,ICU / General Medicine / Critical Care / Multispeciality,Open 24 Hours (All Days),Open Map ?
Dr. Gade Children Hospital,"Wamannagar, Infront KLE School, Konark Nagar, Jule, Solapur - 413004",17.634537,75.9137784,+91 217 234 3050,4.3,Children's Hospital,Paediatrics / Child Care,Mon-Sun: 11:00 AM - 2:30 PM,Open Map ?
Kothadia Nursing Home,"6185/E/1 Sidheshwar Peth, Near Zilla Parishad Office, Solapur - 413001",17.669336,75.909036,+91 96899 99700,4.2,Nursing Home,Orthopaedics / ACL Surgery / Physiotherapy,Mon-Sat: Open 24 Hours | Sun: Closed,Open Map ?
Solapur Cancer Center,"Near Gangamai Hospital, Ramwadi, Solapur - 413001",17.6567638,75.8966141,+91 217 238 0380,4.2,Cancer Hospital,Oncology / Oncosurgery / Chemotherapy,Mon-Sat: 11:00 AM - 8:30 PM | Sun: Closed,Open Map ?
Dr. Jadhav's Sanjivani Nursing Home,"Old Pune Naka, Besides Chhatrapati Sambhaji Maharaj Putla, Dharamsi Lane, Murarji Peth, Solapur - 413002",17.6839235,75.8931481,,4.2,Nursing Home,Gynaecology / Caesarean / Obstetrics,Mon-Sat: Open 24 Hours | Sun: Closed,Open Map ?
Dr. Shruti's Skin Clinic,"Darusalam Complex, Z.P. Road, Near M.A. Pangal School, Solapur - 413001",17.6690408,75.9101537,+91 89838 87156,4.2,Skin Clinic,Dermatology / Hair & Skin Treatment / Laser / PRP,Mon-Sat: 1:00-4:30 PM & 6:00-9:00 PM | Sun: Closed,Open Map ?
Solapur Sanjeevani Multispeciality Hospital,"No. 186, Chhatrapati Shivaji Maharaj Chowk, Budhavar Peth, Solapur - 413002",17.6802089,75.898842,,4.1,Multispeciality Hospital,General Medicine / Surgery / Multispeciality,Open 24 Hours (All Days),Open Map ?
Dr.Chidgupkar Hospital Pvt Ltd,"Plot No 190, Samrat Chowk, Budhwar Peth, Solapur-413002, Maharashtra",17.684950,75.900113,+91 2172326841,4.0,Multispeciality Hospital,Gynaecologist & Obstetrician | Orthopaedic | Multispeciality,Mon-Sat: 9:00 AM - 7:00 PM | Sun: Closed,Open Map ?
Suyash Nursing Home,"40, Hotagi Rd, Vikas Nagar, Ratandeep Housing Society, Solapur - 413003",17.6505891,75.9109321,+91 217 260 1253,3.9,Nursing Home,Gynaecology / High-Risk Pregnancy / Obstetrics,Mon-Fri: 9:00 AM - 12:30 AM | Sat: 9:00 AM - 6:00 PM | Sun: Closed,Open Map ?
Ashwini Sahakari Rugnalaya,"Survey No. 7107/1 Plot No. 180, North, S Sadar Bazar, South Sadar Bazar, Jawaharlal Housing Society, Keshav Nagra, Solapur, Maharashtra 413003",17.6607757,75.9082616,0217-2453145/146,3.6,Multispeciality hospital,Cardiology / Pediatrics / Orthopedics/ Neurology / Neurosurgery,Open 24 Hours (All Days),Open Map ?
